"SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold.","SAN FRANCISCO – Es war noch nie leicht, ein rationales Gespräch über den Wert von Gold zu führen."
"But is the Gates affair the right way to enter into this discussion?","Aber ist die Gates-Affäre wirklich der richtige Weg, um in diese Diskussion einzusteigen?"
"One might argue that itwas. If not Professor Gates, then who?","Man könnte argumentieren, dass sie es sehr wohlwar. Wer, wenn nicht Professor Gates?"
"Precisely because he is a grandee, he is in the position to draw national attention to a serious issue.","Eben weil es sich bei ihm um eine Kapazität handelt, ist er in der Lage das nationale Augenmerk auf dieses ernste Thema zu lenken."
"If the same thing had happened to an unknown man in Harlem, or some other poor, or predominantly black district, no one would ever have heard about it.","Wenn das gleiche einem Unbekannten aus Harlem oder aus einem anderen armen oder vorwiegend schwarzen Viertel passiert wäre, hätte wohl nie jemand davon erfahren."
"The fact that it happened to a professor in Cambridge makes everyone sit up and take notice.","Die Tatsache, dass dies einem Professor in Cambridge widerfuhr, rüttelt die Allgemeinheit auf.  "
"There is, however, a danger that it will have an adverse affect on the necessary national discussion about race.","Dennoch besteht die Gefahr, dass dies auch nachteilige Auswirkungen auf die notwendige nationale Diskussion über Frage der Hautfarbe hat ."
"By having made such a big issue out of what was in fact a relatively minor event Gates could be accused of trivializing much worse instances of abuse.","Weil Gates aus diesem relativ unbedeutenden Vorfall eine derart große Sache machte, könnte man ihm nämlich vorhalten, viel schlimmere Fälle von Missbrauch zu trivialisieren."
"Indeed, we don’t even know for certain whether this was such an instance.","Tatsächlich wissen wir nicht einmal mit Sicherheit, ob dies ein solcher Vorfall war."
"Crowley never mentioned the color of Gates’ skin.","Crowley erwähnte Gates’ Hautfarbe überhaupt nicht."
"There was no question of violence. There were just very raw nerves and hypersensitivity to hints of disrespect, on the part of the professor, and of the cop.","Auch Gewalt war nicht im Spiel.  Die Angelegenheit war geprägt von blank liegenden Nerven und Überempfindlichkeit gegenüber mangelndem Respekt sowohl auf Seiten des Professors als auch auf der des Polizisten."
"Outrage about a professor who is not to be messed with is not the best way to discuss the plight of countless, poor, anonymous people, whom most of us find it too easy to ignore.","Empörung über einen Professor, mit dem man sich nicht anlegen darf, ist nicht die beste Methode, das Elend zahlloser, armer, namenloser Menschen zu diskutieren, die von den meisten von uns nur allzu leicht übersehen werden."
"PARIS &#45;&#45; Ever since French President Nicolas Sarkozy took himself off his country’s most-eligible-bachelor list by publicly acknowledging his affair with supermodel-turned-pop-musician Carla Bruni during a romantic trip to Euro Disney, he’s run into trouble. ","PARIS – Seit er bei einem romantischen Ausflug nach Disneyland Paris öffentlich seine Affäre mit Ex-Supermodel und Popmusikerin Carla Bruni bekannt gab und sich damit von der Liste der begehrtesten Junggesellen seines Landes strich, steckt der französische Präsident Nicolas Sarkozy in Schwierigkeiten."
"His ratings have dipped below 50% for the first time.","Seine Zustimmungswerte sind erstmals unter 50% gefallen."
"Older French citizens don’t find the public spectacle of their leader in love very amusing.","Ältere französische Bürger finden das öffentliche Spektakel, dass ihr verliebter Landesvater abgibt, nicht sonderlich amüsant."
"Abroad, Egyptian lawmakers were so exercised over the prospect of the French head of state sharing a bed with his girlfriend that several vented their disapproval on the floor of the parliament. ","Im Ausland echauffierten sich Ägyptens Parlamentarier derart über die Aussichten, dass das französische Staatsoberhaupt das Bett mit seiner Freundin teilen könnte, dass mehrere von ihnen ihrem Unmut öffentlich im Parlament Luft machten."
"Likewise, India is all in a quandary over how to handle protocol during Sarkozy’s impending visit to the subcontinent as the guest of honor at the country’s Republic Day celebrations on January 26.","Genauso ist Indien in großer Verlegenheit darüber, wie es Sarkozys bevorstehenden Besuch auf dem Subkontinent als Ehrengast bei den Feierlichkeiten zum Tag der Republik am 26. Januar protokollarisch handhaben soll."
"Should the First Girlfriend have her own motorcade, as a first lady would?","Sollte die Präsidentenfreundin ihren eigenen Fahrzeugkonvoi bekommen, so wie eine Präsidentengattin?"
"Meanwhile, the same hard-right Hindu groups that protest Valentine’s Day as a decadent Western holiday have warned that if Sarkozy arrives with his girlfriend in tow, they’ll be out in the streets to welcome him.","Dieselben rechtsgerichteten Hindu-Gruppen, die schon gegen den Valentinstag als dekadenten westlichen Feiertag protestieren, warnen, dass, falls Sarkozy mit Freundin im Schlepp anreisen sollte, sie ihn auf den Straßen „willkommen heißen“ würden."
"This controversy has threatened to cast a pall over a much-heralded summit between two of the world’s great democracies.","Die Kontroverse droht, einen Schatten auf einen groß angekündigten Gipfel zweier der größten Demokratien der Erde zu werfen."
"With lucrative deals at stake for the big-ticket products that drive the French economy – military hardware, nuclear power plants, and Airbus planes – France has a strong interest in a successful summit in India.","Da lukrative Geschäftsabschlüsse für die teuren Produkte, die die französische Konjunktur antreiben – militärische Hardware, Kernkraftwerke und Airbus-Flugzeuge – auf dem Spiel stehen, hat Frankreich ein starkes Interesse an einem Gipfelerfolg in Indien."
"So, as rumors fly of secret marriage ceremonies either already concluded or in the works, could the trouble brewing in India over the French president’s very public love life be behind the rush to have the couple legally wed?","Während also die Luft schwirrt von Gerüchten über eine entweder schon erfolgte oder gerade in Vorbereitung befindliche heimliche Heirat, fragt man sich, ob der in Indien brodelnde Ärger über das sehr öffentliche Liebesleben des französischen Präsidenten hinter der Eile steckt, das Paar gesetzlich zu verheiraten?"
"The news in Sarkozy’s favored media outletJournal du Dimanche that the couple plan to marry touched off a flurry of fevered speculation on when the happy event might occur.","Die Nachricht in Sarkozys HausblattJournal du Dimanche, dass beide ihre Hochzeit planten, hat fieberhafte Spekulationen ausgelöst, wann das freudige Ereignis eintreten könnte."
"The couple exchanged significant tokens of their mutual affection: he offered her a heart-shaped pink diamond ring by Dior, she offered him a Swiss watch.","Beide haben deutliche Symbole ihrer gegenseitigen Zuneigung ausgetauscht: Er schenkte ihr einen herzförmigen, rosafarbenen Diamantring von Dior, sie ihm eine Schweizeruhr."
"It’s “serious,” the smitten president admitted.","Es sei „ernst“, gab der verliebte Präsident zu."
"But he refused, even under direct questioning by reporters, to reveal an exact date.","Doch selbst auf direkte Nachfragen von Reportern weigerte er sich, ein genaues Datum preiszugeben. „Sie werden es wohl im Nachhinein erfahren,“ spöttelte er."
"“You’ll probably find out after it’s happened,” he taunted.","Gerüchten zufolge hat das Pärchen den 8. oder 9. Februar als Hochzeitstag festgelegt."
"Rumor has it the couple has set February 8 or 9 for the wedding.   Others say that Sarkozy has already outsmarted the media by secretly marrying in the Elysee Palace, even as he was dodging wedding questions.","Andere sagen, dass Sarkozy die Medien, während er sich noch um Fragen zu den Heiratsplänen herumdrückte, längst durch eine geheime Trauung im Elyseepalast ausgetrickst habe."
"If that is true, then Sarkozy missed the romantic opportunity of a lifetime.","Stimmt dies, so hat Sarkozy eine einmalige romantische Chance vertan."
"If the couple sizzled for cameras with Luxor and Petra as the backdrop, just imagine how hot things could get at the most romantic spot on Earth, the Taj Mahal.","Wenn das Paar schon auf Fotos mit Luxor und Petra als Hintergrund brannte, dann stelle man sich nur vor, wie heiß die Dinge am romantischsten Ort der Welt, dem Taj Mahal, werden könnten."
"And, given the current rage for all things Bollywood in France, a lavish Indian wedding would be fitting.","Und angesichts der Tatsache, dass aktuell alles, was aus Bollywood kommt, in Frankreich der letzte Schrei ist, würde eine verschwenderische indische Hochzeit gut ins Bild passen."
"Bruni’s own life path closely resembles any number of Bollywood stars who have made the transition from model to actress.","Brunis eigener Lebensweg ähnelt stark dem einer großen Zahl von Bollywood-Stars, die den Schritt vom Model zur Schauspielerin geschafft haben."
"A comely brunette who sings is perfect for a Bollywood makeover.","Eine anmutige Brünette, die singt, ist für ein Makeover à la Bollywood perfekt geeignet."
"The Indian government will be nothing if not relieved to see the first girlfriend made a wife.","Die indische Regierung jedenfalls wäre erleichtert, zu sehen, dass aus der Präsidentenfreundin eine Präsidentenfrau wird."
"As one of India’s leading daily newspapers, theIndian Express, spelled it out, lest anyone be confused, “a girlfriend is not a wife or spouse.” Once wed, all protocol worries about the French delegation would simply disappear.","Nur damit keine Missverständnisse aufkommen, erklärte derIndian Express, eine der führenden indischen Tageszeitungen, seinen Lesern ganz deutlich: „Eine Freundin ist keine Ehefrau oder Gattin.“ Wären beide erst mal verheiratet, würden sich alle die französische Delegation betreffenden Protokollprobleme einfach in Luft auflösen."
"Despite the sometimes downright pornographic on-screen writhing of Bollywood starlets, India is still a deeply conservative society.","Trotz der manchmal geradezu pornografischen Leinwandverkrümmungen der Bollywood-Sternchen ist Indien nach wie vor eine zutiefst konservative Gesellschaft."
"Divorce is anathema.","Scheidung ist etwas Unerhörtes."
"(Sarkozy is now twice divorced.)","(Sarkozy ist nun zweimal geschieden.)"
"And, while mistresses abound among the privileged classes, they do not strut publicly by their power-mates’ sides.","Und während es innerhalb der privilegierten Schichten nur so von Mätressen wimmelt, stolzieren diese nicht in aller Öffentlichkeit an der Seite ihrer mächtigen Freunde daher."
"Kissing and fondling in public, even by spouses, is taboo.","Küsse und Geschmuse in der Öffentlichkeit ist selbst für Verheiratete tabu."
"In this respect, India more resembles the France with which Sarkozy wants to make a clean break than the current one.","In dieser Hinsicht ähnelt Indien eher jenem Frankreich, mit dem Sarkozy einen glatten Bruch anstrebt, als dem heutigen."
"Most Indians, as it seems many French, would prefer not to shed the “hypocrisy” Sarkozy laments on the part of his predecessors (read: former French President François Mitterrand, who had a child with his mistress about whom the public knew nothing until the man’s funeral).","Die meisten Inder würden es – wie anscheinend viele Franzosen auch – bevorzugen, sich eben nicht jener „Scheinheiligkeit“ zu entledigen, die Sarkozy seinen Vorgängern ankreidet (sprich: dem ehemaligen französischen Präsidenten François Mitterrand, der mit seiner Mätresse ein Kind hatte, von dem vor Mitterrands Beerdigung niemand wusste)."
"Sarkozy, of all people, should know that a large part of the gravitas of office derives from pomp and circumstance.","Gerade Sarkozy sollte wissen, dass ein großer Teil der Würde seines Amtes auf Glanz und Zeremoniell beruht."
"Statecraft is a realm where appearances are meant to be deceiving.","Die Staatskunst ist ein Bereich, in dem der Schein trügen soll."
"When Sarkozy, who otherwise has such finely tuned media instincts, protests that he’s no different from any other man, he comes dangerously close to confusing the office and the person of the president.","Wenn Sarkozy mit seiner ansonsten so feinen Antenne für die Medien sich beschwert, er sei kein Bisschen anders als andere Männer, so ist er gefährlich nahe daran, Amt und Person des Präsidenten miteinander zu verwechseln."
"Most French people could only dream of an exotic wedding in India.","Die meisten Franzosen können von einer exotischen Hochzeit in Indien nur träumen."
"Sarkozy could make that dream come true.","Sarkozy könnte diesen Traum Wirklichkeit werden lassen."
"If he really is as head-over-heels in love with Bruni as he claims, and plans to marry her imminently, why not take advantage of his upcoming trip to India and make this a wedding to remember?","Falls er tatsächlich derart Hals über Kopf in Bruni verliebt ist wie er behauptet und sie in Kürze heiraten will, warum nutzt er nicht seine anstehende Reise nach Indien und macht dies zu einer unvergesslichen Hochzeit?"
"He could meet his bride seated majestically on the caparison of an elaborately decorated elephant, and she would look ravishing swathed and bejeweled in Indian finery.","Er könnte seine Braut majestätisch auf der Schabracke eines kunstvoll geschmückten Elefanten sitzend treffen, und sie würde in feinsten indischen Tuchen und Juwelen einfach hinweißend aussehen."
"The “bling-bling” president, as Sarkozy has been dubbed, can wear all the gold he wants and heap yet more diamonds on his bride. ","Der „Bling-Bling-Präsident“, wie Sarkozy inzwischen genannt wird, könnte so viel Gold tragen, wie es ihm beliebt, und seine Braut mit noch mehr Diamanten überschütten."
"The cameras would roll, Indians would smile, and France would be treated to a Bollywood spectacle beyond its wildest dreams.","Die Filmkameras würden laufen, die Inder würden lächeln, und Frankreich würde mit einem Bollywood-Spektakel verwöhnt werden, das seine wildesten Träume übersteigt."
"And if it’s too late for the wedding, there’s always the reception.","Und falls es für die Hochzeit selbst zu spät ist, bliebe immer noch der Empfang."
"BERLIN – Twenty-five years after the nuclear disaster at Chernobyl, the ongoing catastrophe at the Fukushima nuclear reactor in Japan has – it must be hoped – made clear once and for all that the purported blessings of the nuclear age are mere illusions: nuclear power is neither clean nor safe nor cheap.","Fünfundzwanzig Jahre nach der Atomkatastrophe von Tschernobyl hat die erneute Katastrophe im japanischen Fukushima hoffentlich definitiv klar gemacht, dass die angeblichen Segnungen des Atomzeitalters schlicht Illusionen sind: die Atomkraft ist weder sauber noch sicher noch billig."
"Indeed, the opposite is true. Nuclear power is saddled with three major unresolved risks: plant safety, nuclear waste, and, most menacing of all, the risk of military proliferation.","Ganz im Gegenteil verfügt Atomkraft über drei ungelöste Großrisiken: Anlagensicherheit, Atommüll und das militärische Weiterverbreitungsrisiko."
"Moreover, the alternatives to nuclear energy – and to fossil fuels – are well known and technically much more advanced and sustainable.","Zudem sind die Alternativen zur nuklearen Stromerzeugung bekannt und technisch weitaus moderner und nachhaltiger als fossile Brennstoffe oder Atom."
"Taking on nuclear risk is not a necessity; it is a deliberate political choice.","Man muss das atomare Risiko nicht eingehen, sondern dies ist offensichtlich politisch gewollt."
"Fossil-fuel and nuclear energy belong to the technological utopias of the nineteenth and twentieth centuries, which were based on a belief in the innocence of the technologically feasible and on the fact that, at the time, only a minority of people worldwide, largely in the West, benefited from technological progress.","Die fossilen und atomaren Energieträger gehören zu den technischen Utopien des 19. und 20. Jahrhunderts, die von dem Glauben an die Unschuld der technischen Machbarkeit lebten und von der Tatsache, dass damals global nur eine überwiegend im Westen lebende Minderheit von den Segnungen dieses Fortschritts profitierte."
"By contrast, the twenty-first century will be informed by the realization that the global ecosystem and its resources, which are indispensable for human survival, are finite, and that this implies an enduring responsibility to preserve what we have.","Das 21. Jahrhundert wird durch die Erfahrung der Endlichkeit des globalen Ökosystems und seiner Ressourcen und durch die daraus erwachsende nachhaltige Verantwortung für den Erhalt dieses für uns Menschen unverzichtbaren Ökosystems geprägt werden."
"Meeting this imperative entails both an enormous technological challenge and an opportunity to redefine the meaning of modernity.","Darin liegt eine gewaltige technische Herausforderung und auch Chance."
"The energy future of nine billion people, which is what the world population will be in the middle of the century, lies neither in fossil fuels nor in nuclear energy, but in renewable energy sources and dramatic improvements in energy efficiency.","Modernität wird dadurch neu definiert werden. Die energetische Zukunft von 9 Mrd. Menschen in der Mitte unseres Jahrhunderts liegt weder in den fossilen Brennstoffen noch in der Atomenergie, sondern allein in den erneuerbaren Energieträgern und einer dramatisch verbesserten Energieeffizienz."
"We already know this.","Man weiß dies bereits heute nur zu gut."
"Why, then, do the most advanced countries, in particular, take on the risk of a mega-catastrophe by seeking to create energy from radioactive fission?","Warum gehen dann aber gerade die höchst entwickelten Staaten dieses nunmehr erneut bewiesene Risiko einer nationalen Großkatastrophe ein, nur um aus radioaktivem Zerfall Strom zu erzeugen?"
"The answer, ultimately, doesn’t lie with any civilian use of nuclear energy, but first and foremost with its military applications.","Die letztendliche Antwort auf diese Frage liegt nicht allein und vor allem im zivilen, sondern im militärischen Nutzen der Atomenergie."
"The energy derived from splitting uranium and plutonium atoms was originally used for the ultimate weapon, the atomic bomb.","Die Energie aus der Spaltung von Uran- und Plutoniumatomen wurde ursprünglich für die ultimative Waffe, die Atombombe genutzt."
"Being a nuclear power provides sovereign states with protection and prestige.","Sie verheißt souveränen  Staaten die ultimative Macht, militärischen Schutz und das Prestige einer Nuklearmacht."
"Even today, the Bomb divides the world into two classes: the few states have it, and the many that do not.","Die Verfügung über diese Waffe teilt bis heute die globale Staatenwelt in zwei Klassen ein, in die wenigen Nuklearmächte und die vielen Habenichtse."
"The old Cold War world order was based on the nuclear arms race between the two superpowers, the United States and Soviet Union.","Die alte Weltordnung des Kalten Krieges gründete seit 1949 auf dem nuklearen Wettrüsten der beiden Supermächte USA und Sowjetunion."
"To stop others from trying to become nuclear powers, which would have multiplied and spread the risk of nuclear confrontation, the Non-Proliferation Treaty (NPT) was framed in the 1960’s. To this day, it governs the relationships between the nuclear powers and the rest of the world, imposing renunciation on the have-nots and nuclear-disarmament obligations on the haves.","Und um zu verhindern, dass sich die zahlreichen Mitglieder der Staatenwelt diesem Wettrüsten anschlossen und versuchten, selbst Atommächte zu werden, und so zu einer Vervielfachung und Weiterverbreitung des atomaren Konfrontationsrisikos beitrugen, wurde in den 60er Jahren des letzten Jahrhunderts der Atomwaffensperrvertrag verhandelt und in Kraft gesetzt, der die Beziehungen zwischen den Nuklearmächten und dem Rest auf der Basis des Verzichts (Habenichtse) und nuklearer Abrüstungsverpflichtungen (Atommächte) bis heute regelt."
"Of course, the NPT has repeatedly been violated or circumvented by states that never subscribed to it.","Freilich wurde dieser Vertrag mehrfach durchbrochen oder von Staaten unterlaufen, die ihm niemals beigetreten sind."
"To this day, therefore, the risk remains that the number of nuclear powers will increase, particularly given small and medium powers’ hope to enhance their prestige and position in regional conflicts.","Bis heute bleibt daher das Risiko, dass es zu einer Ausdehnung der Anzahl der Atommächte kommt. Dieses Risiko besteht vor allem für kleine und mittlere Mächte, die sich von einem solchen Schritt eine Aufwertung ihrer Position in Regionalkonflikten erhoffen und zudem zusätzliches Prestige erwarten."
"Iran is the most current example of this.","Iran ist dafür das aktuellste Beispiel."
"The nuclearization of these not-always-stable states threatens to make the regional conflicts of the twenty-first century much more dangerous, and will also substantially increase the risk that nuclear weapons eventually end up in the hands of terrorists.","Eine drohende Nuklearisierung solcher nicht immer sehr stabilen Staaten und eine damit einhergehende nukleare Aufladung der zahlreich vorhandenen Regionalkonflikte dieser Welt würde aber das 21. Jahrhundert sehr viel unsicherer machen und zudem das Risiko erheblich vergrößern, dass Atomwaffen schließlich auch in die Hände von Terroristen geraten könnten."
"Despite the NPT, a clear separation between civilian and military use of nuclear energy hasn’t always worked, or worked completely, because the NPT’s rules permit all signatory states to develop and use – under international supervision – all of the components of the nuclear fuel cycle for civilian purposes.","Trotz des Atomwaffensperrvertrages hat die klare Trennung zwischen der zivilen und der militärischen Nutzung der Atomenergie nicht immer und nicht wirklich funktioniert, denn unter der Herrschaft des Vertrages ist es allen Unterzeichnerstaaten unter internationaler Kontrolle erlaubt, alle Komponenten des atomaren Brennstoffkreislaufs für zivile Zwecke zu entwickeln und zu gebrauchen."
"From here, then, all that is required to become a nuclear power are a few small technical steps and political leaders’ decision to take them.","Von dort aus bedarf es dann nur noch weniger technologische Schritte und einer politischen Entscheidung der jeweiligen nationalen Führung, um den Schritt zur Nuklearmacht zu tun."
"This political power, not the requirements of energy policy, is what makes giving up nuclear energy so difficult.","Dieses machtpolitische Geheimnis der Atomenergie ist es aber, das den Abschied von ihr so schwer macht, und keineswegs energiepolitische Gründe."
"As a rule, the path to nuclear-power status always begins with so-called “civilian” nuclear programs.","In der Regel beginnt der Weg in Richtung Atommacht immer mit so genannten „zivilen“ Atomprogrammen."
"The supposed “civilian” nuclear ambitions of Iran have thus, for instance, led to a large number of such “civilian” programs in neighboring states.","So haben etwa die behaupteten „zivilen“ atomaren Ambitionen des Iran zu einer Vielzahl von zivilen Programmen in dessen Nachbarstaaten geführt."
"Honni soit qui mal y pense!","Ein Schelm, der Böses dabei denkt!"
"And, of course, the reactions of the nuclear powers to the disaster at Fukushima will be watched and analyzed closely by the so-called “clandestine threshold countries.”","Und selbstverständlich wird auch genau deshalb von den so genannten „verborgenen Schwellenstaaten“ jetzt sehr genau beobachtet und analysiert, wie die Reaktionen vor allem der Nuklearmächte auf die Atomkatastrophe von Fukushima ausfallen wird. "
"So how will the world – first and foremost, the main nuclear powers – react to the Fukushima disaster?","Wie wird die Welt, allen voran die wichtigsten Atomwaffenstaaten, auf die nukleare Katastrophe von Fukushima reagieren?"
"Will the tide truly turn, propelling the world towards nuclear disarmament and a future free of nuclear weapons?","Wird es global zu einem echten Gezeitenwechsel kommen und damit die Welt in Richtung nuklearer Abrüstung und eine atomwaffenfreie Zukunft voranschreiten?"
"Or will we witness attempts to downplay the calamity and return to business as usual as soon as possible?","Oder wird man versuchen, die Gründe für diese Katastrophe wegzuerklären, um nach einiger Zeit zum business as usual zurückzukehren? "
"Fukushima has presented the world with a far-reaching, fundamental choice.","Fukushima hat die Welt vor eine weitreichende Grundsatzentscheidung gestellt."
"It was Japan, the high-tech country par excellence (not the latter-day Soviet Union) that proved unable to take adequate precautions to avert disaster in four reactor blocks.","Es war Japan, das Hightech-Land Nummer 1 (und eben nicht die späte Sowjetunion), das nicht in der Lage war, die nötige Vorsorge zu treffen, um eine solche Katastrophe in vier Reaktorblöcken zu verhindern."
"What, then, will a future risk assessment look like if significantly less organized and developed countries begin – with the active assistance of the nuclear powers – to acquire civilian nuclear-energy capabilities?","Wie aber wird die zukünftige Risikobewertung erst aussehen müssen, wenn wesentlich schlechter organisierte und entwickelte Staaten in die zivile Nutzung der Atomenergie unter der tätigen Mithilfe der Atommächte einsteigen?"
"Any decision to continue as before would send an unambiguous message to the clandestine threshold countries that are secretly pursuing nuclear weapons: despite lofty rhetoric and wordy documents, the nuclear powers lack the political will to change course.","Und selbstverständlich wird ein „Weiter so!“ eine eindeutige Botschaft an die verborgenen Schwellenstaaten enthalten, die insgeheim militärische Absichten verfolgen. Die Botschaft lautet, dass man schön über eine atomwaffenfreie Zukunft reden und lange Dokumente verfassen kann, aber dass es ganz offensichtlich an dem politischen Willen der Nuklearmächte mangelt, international eine echte Kehrtwende in Richtung „Raus aus der Atomenergie!“ einzuleiten."
"Were they to abandon nuclear energy, however, their epochal change of heart would constitute a seminal contribution to global nuclear security – and thus to the fight against nuclear proliferation.","Ein solcher Schritt wäre nicht nur ein epochaler Wechsel des Zeitgeistes, sondern deshalb auch ein enormer Beitrag zur globalen nuklearen Sicherheit und auch eine entscheidende praktische Weichenstellung zur Bekämpfung der militärischen nuklearen Weiterverbreitung."
"WAGENINGEN, NETHERLANDS – Born in 1957, the Common Agricultural Policy (CAP) is now more than 50 years old, and the European Commission is proposing what it calls a health check for its middle-aged child.","WAGENINGEN, NIEDERLANDE – Die 1957 eingeführte Gemeinsame Agrarpolitik (GAP) ist nun also über 50 Jahre alt und die Europäische Kommission beabsichtigt, einen von ihr so bezeichneten Gesundheitscheck für ihr in die Jahre gekommenes Kind durchzuführen."
"But superficial repairs will not meet the European Union’s future needs.","Allerdings wird man mit oberflächlicher Kosmetik den zukünftigen Erfordernissen in der Europäischen Union nicht genügen können."
"The CAP must be born again.","Die GAP muss neu geschaffen werden."
"Work on its renewal is due to start now, with the completed project ready in 2013.","Damit soll nun begonnen werden und bis 2013 soll das Projekt abgeschlossen sein."
"But a much more profound re-think is needed.","Allerdings bedarf es eines noch grundlegenderen Umdenkens."
"The CAP’s original aim was to provide a secure source of food for the six original member states of the Union, which were importers of food and sought a degree of self-sufficiency.","Das ursprüngliche Ziel der GAP war, für eine gesicherte Nahrungsmittelversorgung der sechs Gründungsmitglieder der Gemeinschaft zu sorgen, die alle auf Nahrungsmittelimporte angewiesen waren und einen gewissen Grad an Unabhängigkeit anstrebten."
"Good, healthy, and cheap food had to be accessible for all citizens.","Gute, gesunde und preiswerte Lebensmittel mussten für alle Bürger zur Verfügung stehen."
"Improved agricultural productivity would benefit rural areas and give farmers a comparative share in the Union’s growing wealth.","Eine verbesserte landwirtschaftliche Produktivität sollte den ländlichen Gegenden zugute kommen und den Bauern einen adäquaten Anteil am wachsenden Wohlstand der Gemeinschaft sichern."
"Instruments to achieve those objectives were developed, and food security was achieved.","Um diese Ziele zu erreichen wurden Instrumente entwickelt und Nahrungssicherheit erreicht."
"The CAP quickly came to be seen as the jewel in the crown of the European project.","Die GAP wurde binnen kurzem als Edelstein in der Krone des europäischen Projekts betrachtet."
"As the EU has evolved and expanded, food systems have become more complex, involving production, processing, supply-chain organization, and wholesale and retail distribution, with all of these involving new issues like health and the environment.","Mit der Entwicklung und Erweiterung der EU sind auch die Lebensmittelsysteme komplexer geworden. Dies betrifft Produktion, Verarbeitung, die Organisation der Versorgungskette sowie den Groß- und Einzelhandelsvertrieb, wobei in allen Bereichen neue Themen im Hinblick auf Gesundheit und Umwelt hinzukommen."
"The use of land is also receiving more serious scrutiny.","Auch die Bodennutzung wird einer eingehenderen Prüfung unterzogen."
"A 1991 study by the Netherlands Scientific Council for Governmental Policy, entitledGround for Choices, demonstrated that the EU’s food supply could be met with 50% less cultivated land, 80% less pesticides, and at 50% less cost.","Eine im Jahr 1991 vom niederländischen Wissenschaftlichen Rat für Regierungspolitik durchgeführte Studie mit dem TitelGround for Choices zeigte, dass die Nahrungsversorgung der EU mit 50 Prozent weniger Anbauflächen, 80 Prozent weniger Pestiziden und 50 Prozent weniger Umweltverschmutzung bewerkstelligt werden könnte."
"Pollution would be reduced by 70% as a result of fewer nitrates in the surface water, and greenhouse gases would be cut.","Die Umweltbelastung würde aufgrund niedrigerer Nitratwerte im Oberflächenwasser um 70 Prozent gesenkt und auch die Treibhausgase würden reduziert."
"Those figures were for an EU of 15 countries, so with today’s 27 members the possibilities are even greater.","Diese Zahlen bezogen sich auf eine EU mit 15 Mitgliedern, daher sind die Möglichkeiten heute mit 27 Mitgliedern ungleich größer."
"A Dutch analysis of land use has shown that by employing the best technical and ecological means on the best available land, substantial gains could be made in food production.","Eine holländische Untersuchung zur Bodennutzung ergab, dass man in der Nahrungsproduktion durch den Einsatz der besten technischen und ökologischen Mittel auf dem besten verfügbaren Boden substanzielle Zuwächse erzielen kann."
"So it is not surprising that the number of farmers needed has fallen substantially.","Es kommt daher nicht überraschend, dass die Anzahl der zur Nahrungsmittelproduktion benötigten Bauern, beträchtlich gesunken ist."
"Viewed from the standpoint of food security and the wealth of rural areas, there is now an urgent need to revisit the CAP’s main instruments so that a new policy formula can be introduced.","Aus der Perspektive der Nahrungssicherheit und des Wohlstandes für ländliche Gegenden ergibt sich die dringende Notwendigkeit, die wichtigsten Instrumente der GAP zu überarbeiten, um so zu einer neuen politischen Formel zu finden."
"Perverse subsidies must be removed and recent new ones favoring products such as bio-fuels reconsidered.","Perverse Subventionen müssen abgeschafft und solche, die Produkte wie Bio-Kraftstoffe bevorzugen, überdacht werden."
"Thestatus quo clearly has to be changed. Rural policy in the EU is too often reduced to income guarantees for the farming community.","Der Status quo muss sich ändern. &#160;Politik für den ländlichen Raum in der EU beschränkt sich allzu oft auf Einkommensgarantien für die Bauern."
"But that attitude is undermining change.","Aber diese Haltung untergräbt den Wandel."
"Competition must be encouraged, as more rural entrepreneurship will strengthen the farming community, with fewer farmers but better farms.","Der Wettbewerb ist zu fördern, da ländliches Unternehmertum die Bauern stärkt, wobei es weniger Bauern, dafür aber bessere landwirtschaftliche Betriebe geben soll."
"A simplified CAP would encourage cleaner, more productive, and efficient agriculture.","Eine vereinfachte GAP würde eine sauberere, produktivere und effizientere Landwirtschaft mit sich bringen."
"A side benefit for the EU’s standing in the world could be that the World Trade Organization’s stalled Doha negotiations could be restarted once farmers in developing countries are assured of getting a fair deal from Europe. Moreover, the CAP’s role as a motor of political and social integration in Europe could be restored once renewed policies are in place.","Ein Nebennutzen für die internationale Position der EU wäre, dass die in die Sackgasse geratenen Doha-Verhandlungen der Welthandelsorganisation wieder in Gang kämen, sobald die Bauern in den Entwicklungsländern die Gewissheit hätten, von Europa fair behandelt zu werden. &#160;Überdies könnte die Rolle der GAP als Motor politischer und sozialer Integration in Europa wieder belebt werden, wenn überarbeitete Strategien eingeführt sind."
"But renewal of this sort cannot be left to global market forces, as the results might not necessarily benefit European agriculture and society.","Allerdings kann eine Erneuerung dieser Art nicht den internationalen Marktkräften überlassen werden, da die Resultate möglicherweise nicht unbedingt positiv für die&#160; europäische Landwirtschaft und Gesellschaft wären."
"If the market “misbehaves,” farmers could be reduced to poverty, leading to the neglect of large areas of Europe.","Wenn sich der Markt „daneben benimmt“ könnten die Bauern in die Armut abgleiten, was zu einer Vernachlässigung großer Teile Europas führen würde."
"That is a real enough danger to which policymakers must give serious thought as they reform the CAP on the basis of the following five pillars.","Dieser durchaus realen Gefahr müssen &#160;die politischen Entscheidungsträger ins Auge blicken, wenn sie die GAP auf Grundlage der folgenden fünf Säulen reformieren."
